tweet,emotion,product_filled,cleaned_tweets
"one thing @mention is doing so great is get a great, down to earth face to google as a company - you can only love her #sxsw #sxwsi",positive,google,one thing great get great earth face google company love sxsw sxwsi
stay tune @mention showcase #h4ckers {link} #sxsw,neutral,none,stay tune showcase h4ckers link sxsw
thank you @mention @mention for the #touchingstories preso #sxsw . here's their deck {link},neutral,none,thank touchingstories preso sxsw heres deck link
thank you @mention for an awesome #sxsw party! {link},neutral,none,thank awesome sxsw party link
"thanks rt @mention if you're trying to contact friends or family in #japan, @mention has created a person finder: {link} #sxsw",neutral,none,thanks rt youre trying contact friends family japan created person finder link sxsw
thanks to @mention for her mention of our new #speech ipad apps being showcased at the #sxsw conf. {link} #sxswh #sxsh,positive,ipad or iphone app,thanks mention new speech ipad apps showcased sxsw conf link sxswh sxsh
thanks to @mention for publishing the news of @mention new medical apps at the #sxswi conf. blog {link} #sxsw #sxswh,mixed,none,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh
thanks to @mention for publishing the news of our new medical apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,neutral,none,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth
what !?!? @mention #sxsw does not provide iphone chargers?!? i've changed my mind about going next year!,negative,iphone,sxsw provide iphone chargers ive changed mind going next year
wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #sxsw #ipad2,neutral,apple,wonder amp apple flashmob tcrnchfcs45j sxsw ipad2
wonder if @mention is putting tips from the @mention api... #sxsw #suxsw,neutral,none,wonder putting tips api sxsw suxsw
"xmas!! rt @mention shiny new @mention @mention @mention apps, a new @garyvee book, pop-up ipad 2 stores... #sxsw is christmas for nerds.",positive,ipad,xmas rt shiny new apps new book popup ipad 2 stores sxsw christmas nerds
yai!!! rt @mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by (cont) {link},positive,iphone,yai rt new ubersocial iphone app store includes uberguide sxsw sponsored cont link
"yes!!! rt @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #sxsw",neutral,none,yes rt hey ive got another gem gt free sxsw link sxsw
"fast, fun &amp; future: @mention of google presenting at #sxsw on search, local and mobile",positive,google,fast fun amp future google presenting sxsw search local mobile
gsd&amp;m &amp; google's industry party tonight @mention - see u there! {link} #sxsw #austin #welivehere #gsdm,neutral,google,gsdampm amp googles industry party tonight see u link sxsw austin welivehere gsdm
"new buzz? &quot;@mention google to launch major new social network called circles, possibly today {link} rt @mention #sxsw&quot;",neutral,google,new buzz quot google launch major new social network called circles possibly today link rt sxswquot
headline: &quot;#ipad 2 is the must-have gadget at #sxsw&quot; hmm... i could have seen that one coming! {link} #gadget,positive,ipad,headline quotipad 2 musthave gadget sxswquot hmm could seen one coming link gadget
ûï@mention &quot;apple has opened a pop-up store in austin so the nerds in town for #sxsw can get their new ipads. {link} #wow,mixed,apple,ûï quotapple opened popup store austin nerds town sxsw get new ipads link wow
know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iphone. i'm just sayin'. #sxsw,negative,iphone,know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw
".@mention &quot;google launched checkins a month ago.&quot; check ins are ok, but check outs are the future. #sxsw #bizzy",positive,google,quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy
".@mention &quot;google launched checkins a month ago.&quot; check ins are ok, but check outs are the future. #sxsw #bizzy (via @mention",neutral,google,quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy via
"ûï@mention &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky, #911tweets panel at #sxsw.û",positive,google,ûï quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxswû
"attending &quot;left brain search = google, right brain search = x&quot; #bettersearch -- talking about the future of search engines at #sxsw",neutral,google,attending quotleft brain search google right brain search xquot bettersearch talking future search engines sxsw
#hp opens &quot;mobile park&quot; &amp; content incubator at #sxsw {link} #apple constructs &quot;pop-up&quot; store {link},neutral,apple,hp opens quotmobile parkquot amp content incubator sxsw link apple constructs quotpopupquot store link
"kawasaki: &quot;not c.s. lewis level reasoning, but apple's continued existence is evidence for the existence of god&quot; #bawling #sxsw",positive,apple,kawasaki quotnot cs lewis level reasoning apples continued existence evidence existence godquot bawling sxsw
kawasaki: &quot;pagemaker saved apple.&quot; oh those were the days. #sxsw #jwtatl #enchantment,neutral,apple,kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment
kawasaki: &quot;pagemaker saved apple.&quot; oh those were the days. #sxsw #jwtatl #enchantment via @mention,positive,apple,kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment via
spark for #android is up for a #teamandroid award at #sxsw read about it here: {link},positive,android,spark android teamandroid award sxsw read link
"unboxing. #apple #sxsw @mention apple store, sxsw {link}",neutral,apple,unboxing apple sxsw apple store sxsw link
"#sxsw and #apple ipad 2's are great, but thoughts are w/ japan and apac regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",positive,ipad,sxsw apple ipad 2s great thoughts w japan apac regions dealing w earthquake amp tsunami trauma sxswi
"at #sxsw, #apple schools the #marketing experts | sxsw - cnet blogs {link}",neutral,apple,sxsw apple schools marketing experts sxsw cnet blogs link
"at #sxsw, #apple schools the marketing experts - {link}",positive,apple,sxsw apple schools marketing experts link
"at #sxsw, #apple schools the marketing experts {link}",neutral,apple,sxsw apple schools marketing experts link
"temporary #apple store is def not a tent, it's a powerhouse gym #sxsw {link}",positive,apple,temporary apple store def tent powerhouse gym sxsw link
"temporary #apple store on 6th and congress for #sxsw, along with 10,000 very happy hipsters.",positive,apple,temporary apple store 6th congress sxsw along 10000 happy hipsters
ûï@mention #apple wins #sxsw {link} opening a temporary store in downtown austin to support #ipad2 launch - that is good.,positive,apple,ûï apple wins sxsw link opening temporary store downtown austin support ipad2 launch good
#ipad and #austin are trending today. have fun at #sxsw all you nerdy nerds!!!,positive,ipad,ipad austin trending today fun sxsw nerdy nerds
"headed to #austin for #sxsw? check out my map for newbies {link} @mention @mention , @mention @mention enjoy!",neutral,none,headed austin sxsw check map newbies link enjoy
funny how #austin is trending but not #sxsw. only a matter of minutes at this point (at least according to twitter for iphone).,neutral,iphone,funny austin trending sxsw matter minutes point least according twitter iphone
christian #ipad #iphone devs i want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,positive,ipad or iphone app,christian ipad iphone devs want talk u sxsw maybe wk together cool app
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. an unexpected experience can be good.,neutral,ipad,sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good
the apple #ipad2 has taken #sxsw and #austin by storm.. {link} @mention excited to a be a part #mobile,positive,ipad,apple ipad2 taken sxsw austin storm link excited part mobile
i can haz #ipad2 ifrom #sxsw gr8 {link},positive,ipad,haz ipad2 ifrom sxsw gr8 link
"stacks of #ipad2's waiting to be bought at #sxsw. i got mine, no hassle at all. apple handled this perfectly {link}",positive,ipad,stacks ipad2s waiting bought sxsw got mine hassle apple handled perfectly link
"#google's #mobile future, and the elusive 'power of here' - {link} (via @mention #eurorscg #sxsw #sxswi",neutral,google,googles mobile future elusive power link via eurorscg sxsw sxswi
"for those #notatsxsw (or at #sxsw), here's {link} free to download and meet nearby peps",neutral,none,notatsxsw sxsw heres link free download meet nearby peps
does your #smallbiz need reviews to play on google places...we got an app for that..{link} #seo #sxsw,positive,google,smallbiz need reviews play google placeswe got app thatlink seo sxsw
does your #smallbiz need reviews to play on google places...we got an app for that..{link} #seo #sxsw,neutral,google,smallbiz need reviews play google placeswe got app thatlink seo sxsw
"#samsung, #sony follow #apple, #hp lead @mention {link} #austin #atx #sxsw",neutral,apple,samsung sony follow apple hp lead link austin atx sxsw
"#samsung, #sony follow #apple, #hp lead @mention {link} #austin #atx #sxsw /via @mention ^rg",neutral,apple,samsung sony follow apple hp lead link austin atx sxsw via rg
"take that #sxsw ! rt @mention major south korean director gets $130,000 to make a movie entirely with his iphone. {link}",positive,iphone,take sxsw rt major south korean director gets 130000 make movie entirely iphone link
"beautiful #sxsw (@mention apple store, sxsw) [pic]: {link}",positive,apple,beautiful sxsw apple store sxsw pic link
q1 was at #sxsw #sxswi for prep. amazing pre push locally. focus on location based. google owns 10% of the regions billboards. #pr20chat,neutral,google,q1 sxsw sxswi prep amazing pre push locally focus location based google owns 10 regions billboards pr20chat
any other #sxsw accounts i need to follow or apps to download for iphone?,neutral,iphone,sxsw accounts need follow apps download iphone
headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,neutral,iphone,headed sxsw want sharegather contact info link turn iphone business card broadcaster
headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},neutral,iphone,headed sxsw want sharegather contact info link turn iphone link
btw - the #sxsw apple store is sold out of all 3g models (vzw &amp; at&amp;t).,neutral,apple,btw sxsw apple store sold 3g models vzw amp atampt
must have #sxsw app! rt @mention lovely review from forbes for our sxsw ipad app holler gram - {link},positive,ipad or iphone app,must sxsw app rt lovely review forbes sxsw ipad app holler gram link
temporary #sxsw apple store. apple being sneaky as usual {link},positive,apple,temporary sxsw apple store apple sneaky usual link
anyone at #sxsw been by the pop-up apple store in austin? that's gotta be a hopping place today.,neutral,apple,anyone sxsw popup apple store austin thats got ta hopping place today
ûï@mention #sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana. cool app.û,positive,ipad or iphone app,ûï sxsw beta testing interactive book ipad app moonbot studios louisiana cool appû
apple won #sxsw from day one. seeing a ton of #ipad2,positive,ipad,apple sxsw day one seeing ton ipad2
#fastball #sxsw giving away two new ipad2 wifi 32g black apple cover tweet @mention fo more info #sxswi #attsxsw tonight @mention bo.lt house,neutral,apple,fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet fo info sxswi attsxsw tonight bolt house
anyone at #sxsw had a chance to check out the pop-up apple store? wondering if it is worth the trek from the convention center...,neutral,apple,anyone sxsw chance check popup apple store wondering worth trek convention center
ûï@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteû @mention did you manage to get yours?,positive,ipad,ûï sxsw ipad store sold everything except 64gig wifi whiteû manage get
ûï@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteû also known as the white jeans configuration.,positive,ipad,ûï sxsw ipad store sold everything except 64gig wifi whiteû also known white jeans configuration
offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. sucks to not be here. #sxsw,positive,ipad,offered sxsw ipad promo ninjafinder users fans sxsw sucks sxsw
@mention #sxsw is an austin conference. do a google search - they have interactive / music / film.,neutral,google,sxsw austin conference google search interactive music film
anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,neutral,ipad,anyone sxsw know apple selling ipad 2
anyone at #sxsw know if the apple store has had a new shipment of ipads yet?,neutral,apple,anyone sxsw know apple store new shipment ipads yet
marc ecko #sxsw launches #iphone app. to autodial political change! {link} #edreform #edtech #eduvc #fightthepaddle,neutral,iphone,marc ecko sxsw launches iphone app autodial political change link edreform edtech eduvc fightthepaddle
#poursite #sxsw learning about the life-changing impact of the ipad on real people's actual lives - bravo!,positive,ipad,poursite sxsw learning lifechanging impact ipad real peoples actual lives bravo
@mention #sxsw lonelyplanet austin guide for #iphone is free for a limited time {link} #lp #travel,positive,iphone,sxsw lonelyplanet austin guide iphone free limited time link lp travel
"more free #sxsw mp3 downloads, this time from itunes: {link}",neutral,none,free sxsw mp3 downloads time itunes link
anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,neutral,google,anyone sxsw heading aclu event seen owt google circles
@mention #sxsw prompt for memory: go to google map and describe a childhood walk,neutral,google,sxsw prompt memory go google map describe childhood walk
the apple #sxsw store still has ipad 2's and short lines.,positive,ipad,apple sxsw store still ipad 2s short lines
essential #sxsw tools: {link},neutral,none,essential sxsw tools link
"just left #sxsw tradeshow demo of @mention at the google theatre. ok, i get it. i see why all the presenters here are using it.",positive,other google product or service,left sxsw tradeshow demo google theatre ok get see presenters using
"following #sxsw tweets on google realtime, four platforms on tweet deck and listening to panel, realizing i'm spoken to no one here today.",neutral,google,following sxsw tweets google realtime four platforms tweet deck listening panel realizing im spoken one today
anyone at #sxsw want an ipad 2? i'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,neutral,ipad,anyone sxsw want ipad 2 im line pick one someone willing pay 50 grab 1
anyone at #sxsw want to make a quick hundred dollars? new #ipad2 from ad hoc apple store here gets hundred plus cost!,positive,ipad,anyone sxsw want make quick hundred dollars new ipad2 ad hoc apple store gets hundred plus cost
solving a #sxsw-induced iphone-in-toilet crisis at apple store with @mention (not my crisis for once),neutral,iphone,solving sxswinduced iphoneintoilet crisis apple store crisis
"monday at #sxsw: barry diller, new york times, congress lunch, w hotel party, google party, six dirty martinis. how mondays should be.",positive,google,monday sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis mondays
attending #sxsw? austin guide by @mention is now free to download on itunes - {link} #lp,neutral,none,attending sxsw austin guide free download itunes link lp
"seriously #sxsw? did you do any testing on the mobile apps? constant ipad crashes causing lost schedules, and no sync for wp7.",negative,ipad or iphone app,seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync wp7
ready for #sxsw?! here are some iphone apps 2 make ur blogging easier | {link} #sxsw #sxswi,positive,ipad or iphone app,ready sxsw iphone apps 2 make ur blogging easier link sxsw sxswi
ipad2 and #sxsw...a conflagration of doofusness. {link},negative,ipad,ipad2 sxswa conflagration doofusness link
attention #sxsw'ers - {link} - rumored pop-up temporary apple store for all your #sxsw ipad 2 launch needs.,positive,apple,attention sxswers link rumored popup temporary apple store sxsw ipad 2 launch needs
i went to #sxswi and all i won was this lousy #ipad #sxsw :-) :-) {link},positive,ipad,went sxswi lousy ipad sxsw link
hey #sxsw #sxswi folks. if you want to learn about security come over to #bsidesaustin {link},neutral,none,hey sxsw sxswi folks want learn security come bsidesaustin link
attending #sxswi? work in iphone / ipad game development? looking to hire an austin-based ios developer? i'm your man. let's talk. #sxsw,neutral,iphone,attending sxswi work iphone ipad game development looking hire austinbased ios developer im man lets talk sxsw
this is a #winning picture #android #google #sxsw {link},positive,android,winning picture android google sxsw link
gsd&amp;m + google 7-10. rt @mention what's the best party to hit tonight? #sxsw @mention @mention,neutral,google,gsdampm google 710 rt whats best party hit tonight sxsw
gsd&amp;m + google industry party #sxsw @mention great to meet you {link},neutral,google,gsdampm google industry party sxsw great meet link
